TY,T1,AU,JO,VL,SP,PY,DA,SN,DO,UR,KW,AB,EP,IS,T2,We,In
JOUR,Towards sentiment and Temporal Aided Stance Detection of climate change tweets,"Upadhyaya, Apoorva",Information Processing & Management,60,103325,2023,2023/07/01/,0306-4573,https://doi.org/10.1016/j.ipm.2023.103325,https://www.sciencedirect.com/science/article/pii/S0306457323000626,Climate change,"Climate change has become one of the most significant crises of our time. Public opinion on climate change is influenced by social media platforms such as Twitter, often divided into believers and deniers. In this paper, we propose a framework to classify a tweet’s stance on climate change (denier/believer). Existing approaches to stance detection and classification of climate change tweets either have paid little attention to the characteristics of deniers’ tweets or often lack an appropriate architecture. However, the relevant literature reveals that the sentimental aspects and time perspective of climate change conversations on Twitter have a major impact on public attitudes and environmental orientation. Therefore, in our study, we focus on exploring the role of temporal orientation and sentiment analysis (auxiliary tasks) in detecting the attitude of tweets on climate change (main task). Our proposed framework STASY integrates word- and sentence-based feature encoders with the intra-task and shared-private attention frameworks to better encode the interactions between task-specific and shared features. We conducted our experiments on our novel curated climate change CLiCS dataset (2465 denier and 7235 believer tweets), two publicly available climate change datasets (ClimateICWSM-2022 and ClimateStance-2022), and two benchmark stance detection datasets (SemEval-2016 and COVID-19-Stance). Experiments show that our proposed approach improves stance detection performance (with an average improvement of 12.14% on our climate change dataset, 15.18% on ClimateICWSM-2022, 12.94% on ClimateStance-2022, 19.38% on SemEval-2016, and 35.01% on COVID-19-Stance in terms of average F1 scores) by benefiting from the auxiliary tasks compared to the baseline methods.",,4,,,
,,"Fisichella, Marco",,,,,,,,,Stance detection,,,,,,
,,"Nejdl, Wolfgang",,,,,,,,,Sentiment analysis,,,,,,
,,,,,,,,,,,Temporal orientation,,,,,,
JOUR,Sentiment Analysis of Customer Feedback and Reviews for Airline Services using Language Representation Model,"PATEL, AKSH",Procedia Computer Science,218,2459,2023,2023/01/01/,1877-0509,https://doi.org/10.1016/j.procs.2023.01.221,https://www.sciencedirect.com/science/article/pii/S1877050923002211,Sentiment Analysis,"The competitive airline sector has grown at a breakneck pace in the last two decades. A useful source for collecting consumer feedback and performing various forms of analysis on it is proper data collection. This collection of data can be used for sentiment analysis. Sentiment analysis is a type of analysis that involves extracting sentiment to find attitudes and emotions associated with the text or data supplied. It's a classification approach in which machine learning techniques are used to identify positive and negative words or reviews in text-driven databases. Further to explain the reasons for negative comments, a word cloud and a bar graph are used. Sentiment analysis is used to analyze the Airline reviews dataset in this paper. To test the performance of sentiment analysis, many Machine Learning (ML) algorithms have been utilized, such as Naive Bayes, Support Vector Machine, and Decision Tree (DT), and each of these approaches has produced distinct results. The performance of Google's BERT algorithm has been evaluated to that of other machine learning algorithms in our research. Furthermore, this paper explores the Bert architecture, which has been pre-trained on two NLP tasks: Masked language modeling and Sentence prediction. The ”Random Forest” is used as a baseline against which the results of the ”BERT Model” are compared because its performance is the best among the machine learning models. In terms of performance criteria such as accuracy, precision, recall, and F1-score, it is discovered that BERT outperformed the other ML techniques.",2467,,International Conference on Machine Learning and Data Engineering,,
,,"OZA, PARITA",,,,,,,,,BERT,,,,,,
,,"AGRAWAL, SMITA",,,,,,,,,Classification,,,,,,
,,,,,,,,,,,Review,,,,,,
,,,,,,,,,,,Machine Learning,,,,,,
JOUR,A framework for investigating the dynamics of user and community sentiments in a social platform,"Bonifazi, Gianluca",Data & Knowledge Engineering,146,102183,2023,2023/07/01/,0169-023X,https://doi.org/10.1016/j.datak.2023.102183,https://www.sciencedirect.com/science/article/pii/S0169023X23000435,Social platforms,"Social platforms are the preferred medium for many people to express their opinions on many topics. This has led many professionals from various fields (marketing, politics, research and development, etc.) to demand increasingly advanced approaches capable of analyzing the evolution of user or community sentiments on particular topics. In this paper, we want to make a contribution to addressing this issue. Specifically, we propose a model and a framework to analyze the dynamics of user and community sentiments in a social platform. In particular, our framework currently focuses on three activities, namely: (i) finding users capable of creating and maintaining a community that reflects their sentiment on a topic; (ii) studying how a user or community sentiment on a topic evolves over time; and (iii) investigating the cross-contamination between a user community and its neighborhood. We tested our framework by means of an extensive experimental campaign that we describe in the paper. Our framework is extremely scalable, and further activities can be easily implemented in it in the near future.",,,,,
,,"Cauteruccio, Francesco",,,,,,,,,User and community sentiments,,,,,,
,,"Corradini, Enrico",,,,,,,,,Model and framework for sentiment evolution,,,,,,
,,"Marchetti, Michele",,,,,,,,,Cross-contamination of users,,,,,,
,,"Terracina, Giorgio",,,,,,,,,,,,,,,
,,"Ursino, Domenico",,,,,,,,,,,,,,,
,,"Virgili, Luca",,,,,,,,,,,,,,,
JOUR,Towards comparable ratings: Exploring bias in German physician reviews,"Kersting, Joschka",Data & Knowledge Engineering,148,102235,2023,2023/11/01/,0169-023X,https://doi.org/10.1016/j.datak.2023.102235,https://www.sciencedirect.com/science/article/pii/S0169023X23000952,Language model fairness,"In this study, we evaluate the impact of gender-biased data from German-language physician reviews on the fairness of fine-tuned language models. For two different downstream tasks, we use data reported to be gender biased and aggregate it with annotations. First, we propose a new approach to aspect-based sentiment analysis that allows identifying, extracting, and classifying implicit and explicit aspect phrases and their polarity within a single model. The second task we present is grade prediction, where we predict the overall grade of a review on the basis of the review text. For both tasks, we train numerous transformer models and evaluate their performance. The aggregation of sensitive attributes, such as a physician’s gender and migration background, with individual text reviews allows us to measure the performance of the models with respect to these sensitive groups. These group-wise performance measures act as extrinsic bias measures for our downstream tasks. In addition, we translate several gender-specific templates of the intrinsic bias metrics into the German language and evaluate our fine-tuned models. Based on this set of tasks, fine-tuned models, and intrinsic and extrinsic bias measures, we perform correlation analyses between intrinsic and extrinsic bias measures. In terms of sensitive groups and effect sizes, our bias measure results show different directions. Furthermore, correlations between measures of intrinsic and extrinsic bias can be observed in different directions. This leads us to conclude that gender-biased data does not inherently lead to biased models. Other variables, such as template dependency for intrinsic measures and label distribution in the data, must be taken into account as they strongly influence the metric results. Therefore, we suggest that metrics and templates should be chosen according to the given task and the biases to be assessed.",,,,,
,,"Maoro, Falk",,,,,,,,,Aspect phrase classification,,,,,,
,,"Geierhos, Michaela",,,,,,,,,Grade prediction,,,,,,
